first_name,last_name,date_of_birth,attendance_rate,average_grade
Tarek,Jaziri,2010-04-12,94.5,14.2
Sonia,Masmoudi,2011-08-22,88.2,11.5
Khalil,Bouaziz,2009-11-05,45.0,9.8
Hana,Rekik,2010-01-30,99.0,16.5
Anis,Trabelsi,2011-02-14,35.5,8.2
Rania,Gharbi,2010-09-18,92.0,13.8
Sami,Saidi,2009-07-07,78.5,10.0
Wafa,Ben Salem,2012-05-15,62.0,11.2
Mohamed,Kallel,2010-12-01,97.0,15.4
Ines,Ellouze,2011-03-25,91.0,12.9
Hamza,Trabelsi,2010-10-10,95.0,14.0
Yasmine,Rekik,2011-01-01,89.0,12.5
Bilel,Jaziri,2009-05-05,42.0,9.0
Sarah,Bouaziz,2010-03-03,98.0,17.0
Oussema,Masmoudi,2011-07-07,85.0,11.0
Leila,Ben Salem,2010-09-09,93.0,13.5
Walid,Abid,2009-12-12,75.0,10.5
Amal,Ayadi,2012-02-02,60.0,11.0
Firas,Gharbi,2010-11-11,96.0,15.0
Meriam,Saidi,2011-04-04,90.0,12.0
